Row #,Category,Filename (ACTUAL),Chart Title,Timeframe,Status,Dashboard Location,Update Frequency,NOTES
1,WHEATS,WHEAT_SRW_BOR_D.png,Box-o-Rox Daily,Daily,Published,Top,Daily,THE signal. SRW price vs 60MA
2,WHEATS,WHEAT_SRW_30M.png,Chicago SRW 30-Minute,30-Min,Published,Top,Live/Daily,Session momentum
3,WHEATS,WHEAT_SRW_D.png,Chicago SRW Daily,Daily,Published,Top,Daily,Primary chart
4,WHEATS,WHEAT_SRW_W.png,Chicago SRW Weekly,Weekly,Published,Top,Weekly,Intermediate trend
5,WHEATS,WHEAT_SRW_M.png,Chicago SRW Monthly,Monthly,Published,Top,Monthly,Seasonal patterns
6,WHEATS,WHEAT_SRW_Special_M.png,Chicago SRW Monthly (Annotated),Monthly,Published,Top,Monthly,Pattern identification
7,WHEATS,WHEAT_SRW_A.png,Chicago SRW Annual,Annual,Published,Top,Annually,50+ year view
8,WHEATS,WHEAT_HRW_W.png,Kansas City HRW Weekly,Weekly,Published,Top,Weekly,HRW intermediate trend
9,WHEATS,WHEAT_HRS_W.png,Minneapolis HRS Weekly,Weekly,Published,Top,Weekly,Spring wheat trend
10,WHEATS,WHEAT_FWH_D.png,Paris 11% Milling Wheat Daily,Daily,Published,Top,Daily,European benchmark
11,WHEATS,WHEAT_FWH_W.png,Paris 11% Milling Wheat Weekly,Weekly,Published,Top,Weekly,Global price discovery
12,GRAINS,GRAIN_C_D.png,CBOT Corn Daily,Daily,Published,Mid,Daily,Feed substitution
13,GRAINS,GRAIN_C_W.png,CBOT Corn Weekly,Weekly,Published,Mid,Weekly,Corn intermediate trend
14,GRAINS,GRAIN_S_D.png,CBOT Soybeans Daily,Daily,Published,Mid,Daily,Row crop bellwether
15,GRAINS,GRAIN_S_W.png,CBOT Soybeans Weekly,Weekly,Published,Mid,Weekly,Soybean intermediate trend
16,SPD_INTRA,SPD_SRW_H_K.png,Chicago SRW Spread: Mar/May,Weekly,In Development,Mid,Daily,Near-term carry
17,SPD_INTRA,SPD_SRW_K_N.png,Chicago SRW Spread: May/Jul,Weekly,Published,Mid,Daily,Pre-harvest carry signal
18,SPD_INTRA,SPD_SRW_N_U.png,Chicago SRW Spread: Jul/Sep,Weekly,Published,Mid,Daily,Harvest pressure spread
19,SPD_INTRA,SPD_SRW_U_Z.png,Chicago SRW Spread: Sep/Dec,Weekly,Published,Mid,Daily,Post-harvest carry
20,SPD_INTRA,SPD_SRW_Z_H2.png,Chicago SRW Spread: Dec/Mar+1yr,Weekly,In Development,Mid,Daily,Winter carry
21,SPD_INTRA,SPD_HRW_H_K.png,Kansas City HRW Spread: Mar/May,Weekly,In Development,Mid,Daily,HRW near-term carry
22,SPD_INTRA,SPD_HRW_K_N.png,Kansas City HRW Spread: May/Jul,Weekly,Published,Mid,Daily,HRW pre-harvest
23,SPD_INTRA,SPD_HRW_N_U.png,Kansas City HRW Spread: Jul/Sep,Weekly,Published,Mid,Daily,HRW harvest-to-fall
24,SPD_INTRA,SPD_HRW_U_Z.png,Kansas City HRW Spread: Sep/Dec,Weekly,Published,Mid,Daily,HRW fall carry
25,SPD_INTRA,SPD_HRW_Z_H2.png,Kansas City HRW Spread: Dec/Mar+1yr,Weekly,In Development,Mid,Daily,HRW winter carry
26,SPD_INTRA,SPD_HRS_H_K.png,Minneapolis HRS Spread: Mar/May,Weekly,In Development,Mid,Daily,HRS near-term carry
27,SPD_INTRA,SPD_HRS_K_N.png,Minneapolis HRS Spread: May/Jul,Weekly,Published,Mid,Daily,HRS pre-harvest
28,SPD_INTRA,SPD_HRS_N_U.png,Minneapolis HRS Spread: Jul/Sep,Weekly,Published,Mid,Daily,HRS harvest-to-fall
29,SPD_INTRA,SPD_HRS_U_Z.png,Minneapolis HRS Spread: Sep/Dec,Weekly,Published,Mid,Daily,HRS fall carry
30,SPD_INTRA,SPD_HRS_Z_H2.png,Minneapolis HRS Spread: Dec/Mar+1yr,Weekly,In Development,Mid,Daily,HRS winter carry
31,SPD_INTRA,SPD_FWH_H_K.png,Paris Milling Spread: Mar/May,Weekly,In Development,Mid,Daily,European pre-harvest
32,SPD_INTRA,SPD_FWH_K_U.png,Paris Milling Spread: May/Sep,Weekly,Published,Mid,Daily,European pre-harvest carry
33,SPD_INTRA,SPD_FWH_K2_U2.png,Paris Milling Spread: May+1/Sep+1,Weekly,Unknown,Mid,Unknown,EXTRA - undocumented variant
34,SPD_INTRA,SPD_FWH_U_Z.png,Paris Milling Spread: Sep/Dec,Weekly,Published,Mid,Daily,European fall carry
35,SPD_INTRA,SPD_FWH_Z_H2.png,Paris Milling Spread: Dec/Mar+1yr,Weekly,Published,Mid,Daily,European winter carry
36,SPD_INTER,SPDINTER_SRW_HRW_M.png,Chicago SRW minus Kansas City HRW,Monthly,Published,Mid,Periodic,Class premium/discount
